Date,LaboratoriebekrÃ¦ftede,Tested,Rate
14. marts,37,573.0,65
15. marts,45,697.0,65
16. marts,74,976.0,76
17. marts,76,905.0,84
18. marts,83,1161.0,71
19. marts,107,1787.0,60
20. marts,103,1114.0,92
21. marts,48,567.0,85
22. marts,61,484.0,126
23. marts,132,1036.0,127
24. marts,139,985.0,141
25. marts,146,1205.0,121
26. marts,122,1064.0,115
27. marts,205,1802.0,"11,4"
28. marts,201,1217.0,"16,5"
29. marts,128,1178.0,"10,9"
30. marts,303,2881.0,"10,5"
31. marts,239,2736.0,"8,7"
01. april,233,2561.0,"9,1"
2. april,378,5379.0,70
3. april,466,6198.0,75
4. april,312,3370.0,93
5. april,159,1970.0,81
6. april,424,6022.0,70
7. april,347,5864.0,59
8. april,299,5105.0,59
9. april,140,2256.0,62
10. april,142,2007.0,71
11. april,140,1907.0,73
12. april,157,1831.0,86
13. april,154,1815.0,85
14. april,141,3304.0,43
15. april,92,2789.0,"3,3"
16. april,121,3.070,"3,9"
